player_id,player_name,recent_team,position,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,result
00-0035208,O.Zaccheaus,ATL,WR,6,SF,0,0,0.0,0,0.0,0,0.0,0,4,58.0,0,5.8,,,3.6817322,0.2857143,0.35064936,0.67402595,1.0
00-0035208,O.Zaccheaus,ATL,WR,7,CIN,0,0,0.0,0,0.0,0,0.0,0,3,31.0,0,3.1,,,3.6920102,0.33333334,0.37,0.759,1.0
00-0035208,O.Zaccheaus,ATL,WR,8,CAR,0,0,0.0,0,0.0,1,-6.0,0,1,10.0,0,0.4,,-1.3639088,0.96924084,0.035714287,0.0,0.05357143,0.0
00-0035208,O.Zaccheaus,ATL,WR,9,LAC,0,0,0.0,0,0.0,0,0.0,0,2,19.0,0,1.9,,,2.22803,0.08695652,0.04956268,0.16512866,1.0
00-0035208,O.Zaccheaus,ATL,WR,10,CAR,0,0,0.0,0,0.0,0,0.0,0,2,34.0,0,3.4,,,1.0803235,0.13793103,0.18571429,0.33689654,0.0
00-0035208,O.Zaccheaus,ATL,WR,11,CHI,0,0,0.0,0,0.0,1,13.0,0,1,9.0,0,2.2,,0.8926772,-0.22112569,0.11111111,0.33653846,0.40224358,0.0
00-0035208,O.Zaccheaus,ATL,WR,12,WAS,0,0,0.0,0,0.0,0,0.0,0,5,91.0,0,9.1,,,1.0492483,0.33333334,0.5857143,0.91,1.0
00-0035208,O.Zaccheaus,ATL,WR,13,PIT,0,0,0.0,0,0.0,0,0.0,0,2,13.0,0,1.3,,,-2.2555747,0.20833333,0.2647059,0.49779412,0.0
00-0035208,O.Zaccheaus,ATL,WR,15,NO,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-2.21325,0.115384616,0.2742616,0.36506003,0.0
00-0035208,O.Zaccheaus,ATL,WR,16,BAL,0,0,0.0,0,0.0,0,0.0,0,4,18.0,0,1.8,,,-1.2250283,0.22580644,0.195,0.47520968,0.0
00-0035208,O.Zaccheaus,ATL,WR,18,TB,0,0,0.0,0,0.0,0,0.0,0,4,37.0,1,9.7,,,2.567212,0.25,0.2245509,0.5321856,0.0
00-0035572,P.Hesse,ATL,TE,1,NO,0,0,0.0,0,0.0,0,0.0,0,1,5.0,0,0.5,,,0.6789414,0.0625,0.031914894,0.116090424,0.0
00-0035572,P.Hesse,ATL,TE,2,LA,0,0,0.0,0,0.0,0,0.0,0,1,5.0,0,0.5,,,1.626213,0.04,0.01980198,0.07386138,1.0
00-0035572,P.Hesse,ATL,TE,4,CLE,0,0,0.0,0,0.0,0,0.0,0,1,22.0,0,2.2,,,2.3536317,0.055555556,0.07083333,0.13291667,0.0
00-0035572,P.Hesse,ATL,TE,5,TB,0,0,0.0,0,0.0,0,0.0,0,1,9.0,0,0.9,,,0.78442353,0.041666668,0.028169014,0.08221831,1.0
00-0035572,P.Hesse,ATL,TE,8,CAR,0,0,0.0,0,0.0,0,0.0,0,1,9.0,0,0.9,,,0.93217987,0.035714287,0.026229508,0.071932085,0.0
00-0035572,P.Hesse,ATL,TE,12,WAS,0,0,0.0,0,0.0,0,0.0,0,1,9.0,0,0.9,,,-0.014287726,0.083333336,0.07857143,0.18,1.0
00-0035572,P.Hesse,ATL,TE,13,PIT,0,0,0.0,0,0.0,0,0.0,0,1,16.0,0,1.6,,,1.3994559,0.041666668,0.013368984,0.07185829,0.0
00-0035572,P.Hesse,ATL,TE,16,BAL,0,0,0.0,0,0.0,0,0.0,0,1,8.0,0,0.8,,,0.51632494,0.032258064,0.035,0.0728871,0.0
00-0035572,P.Hesse,ATL,TE,18,TB,0,0,0.0,0,0.0,0,0.0,0,1,6.0,0,0.6,,,0.2910313,0.035714287,-0.005988024,0.04937981,0.0
00-0036365,B.Edwards,ATL,WR,1,NO,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,,,-1.149329,0.03125,0.031914894,0.069215424,0.0
00-0036365,B.Edwards,ATL,WR,2,LA,0,0,0.0,0,0.0,0,0.0,0,1,2.0,0,0.2,,,-4.3895974,0.08,0.12871288,0.21009901,1.0
